144	4	Sudeste	ES	Cachoeiro de Itapemirim	BR-482	Federal	482BES0030				32,4	38,8	PAV	MORRO GRANDE (ACESSO IV C. ITAPEMIRIM) - ENTR ES-166 (COUTINHO)	MORRO GRANDE (ACESSO IV C. ITAPEMIRIM)	ENTR ES-166 (COUTINHO)	MORRO GRANDE (ACESSO IV C. ITAPEMIRIM) → ENTR ES-166 (COUTINHO)	ENTR ES-166 (COUTINHO) → MORRO GRANDE (ACESSO IV C. ITAPEMIRIM)	8	2	10
145	4	Sudeste	MG	Conselheiro Pena	BR-259	Federal	259BMG0130				43,1	85	PAV	ENTR MG-422 (RESPLENDOR) - ENTR BR-458 (CONSELHEIRO PENA)	ENTR MG-422 (RESPLENDOR)	ENTR BR-458 (CONSELHEIRO PENA)	ENTR MG-422 (RESPLENDOR) → ENTR BR-458 (CONSELHEIRO PENA)	ENTR BR-458 (CONSELHEIRO PENA) → ENTR MG-422 (RESPLENDOR)	8	2	10
149	4	Centro-Oeste	GO	Luziânia	BR-040	Federal	040BGO0050	050BGO0050			24,1	95,7	PAV	ENTR GO-010 (P/LUZIÂNIA) - ENTR BR-050(B)/354/457/GO-309 (CRISTALINA)	ENTR GO-010 (P/LUZIÂNIA)	ENTR BR-050(B)/354/457/GO-309 (CRISTALINA)	ENTR GO-010 (P/LUZIÂNIA) → ENTR BR-050(B)/354/457/GO-309 (CRISTALINA)	ENTR BR-050(B)/354/457/GO-309 (CRISTALINA) → ENTR GO-010 (P/LUZIÂNIA)	8	2	10
151	4	Centro-Oeste	GO	Pirenópolis	BR-153	Federal	153BGO0550				378,1	403	PAV	ENTR GO-080(B) (P/SAO FRANCISCO DE GOIÁS) - ENTR GO-431 (P/PIRENOPOLIS)	ENTR GO-080(B) (P/SAO FRANCISCO DE GOIÁS)	ENTR GO-431 (P/PIRENOPOLIS)	ENTR GO-080(B) (P/SAO FRANCISCO DE GOIÁS) → ENTR GO-431 (P/PIRENOPOLIS)	ENTR GO-431 (P/PIRENOPOLIS) → ENTR GO-080(B) (P/SAO FRANCISCO DE GOIÁS)	10	2	12
154	4	Centro-Oeste	GO	Itumbiara	BR-452	Federal	452BGO0050				134,5	181,4	PAV	ENTR GO-040 - ENTR BR-154(A)/483(A)/GO-206(A) (P/CACHOEIRA DOURADA)	ENTR GO-040	ENTR BR-154(A)/483(A)/GO-206(A) (P/CACHOEIRA DOURADA)	ENTR GO-040 → ENTR BR-154(A)/483(A)/GO-206(A) (P/CACHOEIRA DOURADA)	ENTR BR-154(A)/483(A)/GO-206(A) (P/CACHOEIRA DOURADA) → ENTR GO-040	8	2	10
159	4	Nordeste	MA	Satubinha	BR-316	Federal	316BMA0300				271,2	297,9	PAV	ENTR BR-222(B) (ESTACA ZERO) - ENTR MA-240 (PIO XII)	ENTR BR-222(B) (ESTACA ZERO)	ENTR MA-240 (PIO XII)	ENTR BR-222(B) (ESTACA ZERO) → ENTR MA-240 (PIO XII)	ENTR MA-240 (PIO XII) → ENTR BR-222(B) (ESTACA ZERO)	8	2	10
162	4	Sudeste	MG	Fruta de Leite	BR-251	Federal	251BMG0240				314,2	349,8	PAV	ENTR BR-342/MG-404 (SALINAS) - RIO VACARIA	ENTR BR-342/MG-404 (SALINAS)	RIO VACARIA	ENTR BR-342/MG-404 (SALINAS) → RIO VACARIA	RIO VACARIA → ENTR BR-342/MG-404 (SALINAS)	8	2	10
171	4	Sudeste	MG	Uberlândia	BR-365	Federal	365BMG0310	452BMG0150			617,8	653,8	EOD	ENTR BR-050(B)/455/497 (UBERLÂNDIA) - ENTR BR-452(B)	ENTR BR-050(B)/455/497 (UBERLÂNDIA)	ENTR BR-452(B)	ENTR BR-050(B)/455/497 (UBERLÂNDIA) → ENTR BR-452(B)	ENTR BR-452(B) → ENTR BR-050(B)/455/497 (UBERLÂNDIA)	8	2	10
172	4	Sudeste	MG	Santa Juliana	BR-452	Federal	452BMG0230				202,3	224,4	PAV	ENTR MG-190 (P/NOVA PONTE) - ACESSO SANTA JULIANA	ENTR MG-190 (P/NOVA PONTE)	ACESSO SANTA JULIANA	ENTR MG-190 (P/NOVA PONTE) → ACESSO SANTA JULIANA	ACESSO SANTA JULIANA → ENTR MG-190 (P/NOVA PONTE)	8	2	10
174	4	Sudeste	MG	São Pedro do Suaçuí	BR-120	Federal	120BMG0110				232	263,3	PAV	ENTR BR-451(B)/MG-416 (P/SÃO PEDRO DO SUAÇUÍ) - ENTR MG-117 (SÃO JOÃO EVANGELISTA)	ENTR BR-451(B)/MG-416 (P/SÃO PEDRO DO SUAÇUÍ)	ENTR MG-117 (SÃO JOÃO EVANGELISTA)	ENTR BR-451(B)/MG-416 (P/SÃO PEDRO DO SUAÇUÍ) → ENTR MG-117 (SÃO JOÃO EVANGELISTA)	ENTR MG-117 (SÃO JOÃO EVANGELISTA) → ENTR BR-451(B)/MG-416 (P/SÃO PEDRO DO SUAÇUÍ)	8	2	10
175	4	Sudeste	MG	São João do Manhuaçu	BR-116	Federal	116BMG1310				609,1	637	PAV	TREVO DE ACESSO SÃO JOÃO DO MANHUAÇU - ENTR MG-265 (P/DIVINO)	TREVO DE ACESSO SÃO JOÃO DO MANHUAÇU	ENTR MG-265 (P/DIVINO)	TREVO DE ACESSO SÃO JOÃO DO MANHUAÇU → ENTR MG-265 (P/DIVINO)	ENTR MG-265 (P/DIVINO) → TREVO DE ACESSO SÃO JOÃO DO MANHUAÇU	8	2	10
176	4	Sudeste	ES	Ibatiba	BR-262	Federal	262BES0210				169,2	196,4	PAV	ENTR ES-185(B) (P/IÚNA) - DIV ES/MG	ENTR ES-185(B) (P/IÚNA)	DIV ES/MG	ENTR ES-185(B) (P/IÚNA) → DIV ES/MG	DIV ES/MG → ENTR ES-185(B) (P/IÚNA)	8	2	10
179	4	Sudeste	MG	Muriaé	BR-116	Federal	116BMG1370				704,2	738,1	PAV	ENTR BR-265/356 (MURIAÉ) - ENTR MG-285 (LARANJAL)	ENTR BR-265/356 (MURIAÉ)	ENTR MG-285 (LARANJAL)	ENTR BR-265/356 (MURIAÉ) → ENTR MG-285 (LARANJAL)	ENTR MG-285 (LARANJAL) → ENTR BR-265/356 (MURIAÉ)	8	2	10
181	4	Sudeste	MG	Três Marias	BR-040	Federal	040BMG0195				310,9	339,7	PAV	ACESSO MORADA NOVA DE MINAS - ACESSO SÃO JOSÉ DO BURITI	ACESSO MORADA NOVA DE MINAS	ACESSO SÃO JOSÉ DO BURITI	ACESSO MORADA NOVA DE MINAS → ACESSO SÃO JOSÉ DO BURITI	ACESSO SÃO JOSÉ DO BURITI → ACESSO MORADA NOVA DE MINAS	8	2	10
182	4	Sudeste	MG	Gouveia	BR-259	Federal	259BMG0330				456,9	534,4	PAV	ENTR BR-367(B) (GOUVEIA) - ACESSO NOSSA SENHORA DA GLÓRIA	ENTR BR-367(B) (GOUVEIA)	ACESSO NOSSA SENHORA DA GLÓRIA	ENTR BR-367(B) (GOUVEIA) → ACESSO NOSSA SENHORA DA GLÓRIA	ACESSO NOSSA SENHORA DA GLÓRIA → ENTR BR-367(B) (GOUVEIA)	8	2	10
183	4	Sudeste	MG	Frutal	BR-153	Federal	153BMG0910	262BMG1070			203,3	239,9	PAV	ENTR MG-255 - ENTR BR-262(B) (DIV MG/SP)	ENTR MG-255	ENTR BR-262(B) (DIV MG/SP)	ENTR MG-255 → ENTR BR-262(B) (DIV MG/SP)	ENTR BR-262(B) (DIV MG/SP) → ENTR MG-255	10	2	12
186	4	Sudeste	MG	Campos Gerais	BR-369	Federal	369BMG0070				120,5	145,2	PAV	ENTR BR-265(B) - CAMPOS GERAIS	ENTR BR-265(B)	CAMPOS GERAIS	ENTR BR-265(B) → CAMPOS GERAIS	CAMPOS GERAIS → ENTR BR-265(B)	8	2	10
188	4	Sudeste	MG	São João Del Rei	BR-265	Federal	265BMG0190				198,5	245,3	PAV	ENTR MG-135/338 (BARBACENA) - ACESSO TIRADENTES	ENTR MG-135/338 (BARBACENA)	ACESSO TIRADENTES	ENTR MG-135/338 (BARBACENA) → ACESSO TIRADENTES	ACESSO TIRADENTES → ENTR MG-135/338 (BARBACENA)	8	2	10
189	4	Sudeste	MG	Três CoraçõEs	BR-381	Federal	381BMG0670				690,9	754,9	DUP	ENTR BR-265 (LAVRAS) - ENTR MG-167(A) (P/TRÊS CORAÇÕES)	ENTR BR-265 (LAVRAS)	ENTR MG-167(A) (P/TRÊS CORAÇÕES)	ENTR BR-265 (LAVRAS) → ENTR MG-167(A) (P/TRÊS CORAÇÕES)	ENTR MG-167(A) (P/TRÊS CORAÇÕES) → ENTR BR-265 (LAVRAS)	10	2	12
191	4	Sudeste	MG	Oliveira	BR-381	Federal	381BMG0590				591,8	620	DUP	ENTR MG-270 (CARMÓPOLIS DE MINAS) - ENTR BR-494(A) (P/OLIVEIRA)	ENTR MG-270 (CARMÓPOLIS DE MINAS)	ENTR BR-494(A) (P/OLIVEIRA)	ENTR MG-270 (CARMÓPOLIS DE MINAS) → ENTR BR-494(A) (P/OLIVEIRA)	ENTR BR-494(A) (P/OLIVEIRA) → ENTR MG-270 (CARMÓPOLIS DE MINAS)	10	2	12
197	4	Sudeste	MG	Monte Alegre de Minas	BR-153	Federal	153BMG0830				58	108,1	PAV	ENTR BR-365 (P/MONTE ALEGRE DE MINAS) - ENTR BR-464/497 (P/PRATA)	ENTR BR-365 (P/MONTE ALEGRE DE MINAS)	ENTR BR-464/497 (P/PRATA)	ENTR BR-365 (P/MONTE ALEGRE DE MINAS) → ENTR BR-464/497 (P/PRATA)	ENTR BR-464/497 (P/PRATA) → ENTR BR-365 (P/MONTE ALEGRE DE MINAS)	8	2	10
199	4	Sudeste	MG	São Domingos do Prata	BR-262	Federal	262BMG0370				147,9	172,2	PAV	ENTR MG-320 (P/SÃO JOSÉ DO GOIABAL) - ENTR BR-120 (VARGEM LINDA)	ENTR MG-320 (P/SÃO JOSÉ DO GOIABAL)	ENTR BR-120 (VARGEM LINDA)	ENTR MG-320 (P/SÃO JOSÉ DO GOIABAL) → ENTR BR-120 (VARGEM LINDA)	ENTR BR-120 (VARGEM LINDA) → ENTR MG-320 (P/SÃO JOSÉ DO GOIABAL)	8	2	10
200	4	Sudeste	MG	Governador Valadares	BR-381	Federal	381BMG0170				164,1	203,4	PAV	ACESSO À GOV. VALADARES - PERIQUITO	ACESSO À GOV. VALADARES	PERIQUITO	ACESSO À GOV. VALADARES → PERIQUITO	PERIQUITO → ACESSO À GOV. VALADARES	8	2	10
202	4	Sudeste	MG	São Sebastião do Oeste	BR-494	Federal	494BMG0050				34,8	71,1	PAV	ENTR MG-050(B) (P/DIVINOPÓLIS) - ENTR MG-260 (P/CLÁUDIO)	ENTR MG-050(B) (P/DIVINOPÓLIS)	ENTR MG-260 (P/CLÁUDIO)	ENTR MG-050(B) (P/DIVINOPÓLIS) → ENTR MG-260 (P/CLÁUDIO)	ENTR MG-260 (P/CLÁUDIO) → ENTR MG-050(B) (P/DIVINOPÓLIS)	8	2	10
213	4	Sudeste	SP	Presidente Prudente	BR-374	Federal	374BSP0050				55,2	59,5	DUP	ENTR SP-425 (PRESIDENTE PRUDENTE) - ENTR SP-425	ENTR SP-425 (PRESIDENTE PRUDENTE)	ENTR SP-425	ENTR SP-425 (PRESIDENTE PRUDENTE) → ENTR SP-425	ENTR SP-425 → ENTR SP-425 (PRESIDENTE PRUDENTE)	10	2	12
215	4	Centro-Oeste	MT	Cuiabá	BR-070	Federal	070BMT0435	364BMT0765	163BMT0680		453,5	490	PAV	FIM VARIANTE II SERRA DE SÃO VICENTE - ACESSO DISTRITO INDUSTRIAL	FIM VARIANTE II SERRA DE SÃO VICENTE	ACESSO DISTRITO INDUSTRIAL	FIM VARIANTE II SERRA DE SÃO VICENTE → ACESSO DISTRITO INDUSTRIAL	ACESSO DISTRITO INDUSTRIAL → FIM VARIANTE II SERRA DE SÃO VICENTE	8	2	10
219	4	Nordeste	PE	São José do Egito	BR-110	Federal	110BPE0280				14,4	24,6	PAV	ENTR PE-263 (P/ITAPETIM) - ENTR PE-320 (SÃO JOSÉ DO EGITO)	ENTR PE-263 (P/ITAPETIM)	ENTR PE-320 (SÃO JOSÉ DO EGITO)	ENTR PE-263 (P/ITAPETIM) → ENTR PE-320 (SÃO JOSÉ DO EGITO)	ENTR PE-320 (SÃO JOSÉ DO EGITO) → ENTR PE-263 (P/ITAPETIM)	10	2	12
221	4	Nordeste	AL	Delmiro Gouveia	BR-110	Federal	110BAL0530				0	11,9	PAV	DIV PE/AL - ENTR BR-423(A)	DIV PE/AL	ENTR BR-423(A)	DIV PE/AL → ENTR BR-423(A)	ENTR BR-423(A) → DIV PE/AL	8	2	10
